model,MAE,RMSE,MAPE_pct,sMAPE_pct,WAPE_pct
XGBoost,0.15638698098795586,0.25009652283142947,28.467696086032586,23.32752982598515,19.28632239962789
LSTM (lookback 24h),0.2816234748734368,0.48844911728644036,45.7857182796439,37.581805187993744,34.7310313006868
LSTM (lookback 6h),0.28349588279448545,0.4844251620265451,47.095900460297415,39.130133207122086,34.96194478594516
LSTM (lookback 60m),0.29708086250837784,0.4883101335078174,55.12130035896226,40.41466986827186,36.637303545986136
"SARIMA(2,0,1)(0,1,0,96)",0.43636380743536446,0.7106902930819111,89.87548140563334,59.34477142284882,53.81428185748868
Seasonal Naive (t-24h),0.6740260384936484,1.0814193367912464,135.2604678903176,69.83669784772812,83.12382144606816
