model,MAE,RMSE,MAPE_pct,sMAPE_pct,WAPE_pct
XGBoost,0.15638698098795586,0.25009652283142947,28.467696086032586,23.32752982598515,19.28632239962789
Residual LSTM correction,0.14264877626419922,0.23906204398903105,23.98453892873796,20.367620615604924,17.592067265213167
